"ItemId","Mod","Slot","SetKey","Category","SuggestedTier","Detection"
"apocalypsenow:sixsh_116_chestplate","apocalypsenow","chest","apocalypsenow:sixsh_116","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:snowghillie_boots","apocalypsenow","feet","apocalypsenow:snowghillie","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:snowghillie_chestplate","apocalypsenow","chest","apocalypsenow:snowghillie","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:snowghillie_helmet","apocalypsenow","head","apocalypsenow:snowghillie","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:snowghillie_leggings","apocalypsenow","legs","apocalypsenow:snowghillie","軽装/特殊衣服","T0-T2","標準部位名"
"apocalypsenow:soldier_boots","apocalypsenow","feet","apocalypsenow:soldier","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:soldier_chestplate","apocalypsenow","chest","apocalypsenow:soldier","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:soldier_helmet","apocalypsenow","head","apocalypsenow:soldier","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:soldier_leggings","apocalypsenow","legs","apocalypsenow:soldier","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:soviet_ushanka_helmet","apocalypsenow","head","apocalypsenow:soviet_ushanka","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:spec_ops_boots","apocalypsenow","feet","apocalypsenow:spec_ops","防弾/軍用","T3-T4","標準部位名"
"apocalypsenow:spec_ops_chestplate","apocalypsenow","chest","apocalypsenow:spec_ops","防弾/軍用","T3-T4","標準部位名"
"apocalypsenow:spec_ops_helmet","apocalypsenow","head","apocalypsenow:spec_ops","防弾/軍用","T3-T4","標準部位名"
"apocalypsenow:spec_ops_leggings","apocalypsenow","legs","apocalypsenow:spec_ops","防弾/軍用","T3-T4","標準部位名"
"apocalypsenow:specialoperationsvest_chestplate","apocalypsenow","chest","apocalypsenow:specialoperationsvest","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:strawhat_helmet","apocalypsenow","head","apocalypsenow:strawhat","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:swat_boots","apocalypsenow","feet","apocalypsenow:swat","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:swat_chestplate","apocalypsenow","chest","apocalypsenow:swat","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:swat_helmet","apocalypsenow","head","apocalypsenow:swat","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:swat_leggings","apocalypsenow","legs","apocalypsenow:swat","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:swatriotcontrol_boots","apocalypsenow","feet","apocalypsenow:swatriotcontrol","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:swatriotcontrol_chestplate","apocalypsenow","chest","apocalypsenow:swatriotcontrol","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:swatriotcontrol_helmet","apocalypsenow","head","apocalypsenow:swatriotcontrol","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:swatriotcontrol_leggings","apocalypsenow","legs","apocalypsenow:swatriotcontrol","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:tank_helmet","apocalypsenow","head","apocalypsenow:tank","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:un_armor_boots","apocalypsenow","feet","apocalypsenow:un_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:un_armor_chestplate","apocalypsenow","chest","apocalypsenow:un_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:un_armor_helmet","apocalypsenow","head","apocalypsenow:un_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:un_armor_leggings","apocalypsenow","legs","apocalypsenow:un_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:un_gas_mask_helmet_helmet","apocalypsenow","head","apocalypsenow:un_gas_mask_helmet","環境防護","T1-T3","標準部位名"
"apocalypsenow:us_army_boots","apocalypsenow","feet","apocalypsenow:us_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:us_army_chestplate","apocalypsenow","chest","apocalypsenow:us_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:us_army_helmet","apocalypsenow","head","apocalypsenow:us_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:us_army_leggings","apocalypsenow","legs","apocalypsenow:us_army","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:usa_armor_boots","apocalypsenow","feet","apocalypsenow:usa_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:usa_armor_chestplate","apocalypsenow","chest","apocalypsenow:usa_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:usa_armor_helmet","apocalypsenow","head","apocalypsenow:usa_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:usa_armor_leggings","apocalypsenow","legs","apocalypsenow:usa_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:visor_helmet","apocalypsenow","head","apocalypsenow:visor","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:welding_mask_helmet","apocalypsenow","head","apocalypsenow:welding_mask","衣服/装飾","T0-T2","標準部位名"
"apocalypsenow:yellow_football_armor_boots","apocalypsenow","feet","apocalypsenow:yellow_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:yellow_football_armor_chestplate","apocalypsenow","chest","apocalypsenow:yellow_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:yellow_football_armor_helmet","apocalypsenow","head","apocalypsenow:yellow_football_armor","防弾/軍用","T1-T3","標準部位名"
"apocalypsenow:yellow_football_armor_leggings","apocalypsenow","legs","apocalypsenow:yellow_football_armor","防弾/軍用","T1-T3","標準部位名"
"aquaculture:neptunium_boots","aquaculture","feet","aquaculture:neptunium","衣服/装飾","T0-T2","標準部位名"
"aquaculture:neptunium_chestplate","aquaculture","chest","aquaculture:neptunium","衣服/装飾","T0-T2","標準部位名"
"aquaculture:neptunium_helmet","aquaculture","head","aquaculture:neptunium","衣服/装飾","T0-T2","標準部位名"
"aquaculture:neptunium_leggings","aquaculture","legs","aquaculture:neptunium","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:blacksportshelmet_2_chestplate","blocky_bikes","chest","blocky_bikes:blacksportshelmet_2","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:blacksportshelmet_2_helmet","blocky_bikes","head","blocky_bikes:blacksportshelmet_2","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:blacksportshelmet_helmet","blocky_bikes","head","blocky_bikes:blacksportshelmet","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:crosshelmet_2_helmet","blocky_bikes","head","blocky_bikes:crosshelmet_2","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:crosshelmet_helmet","blocky_bikes","head","blocky_bikes:crosshelmet","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:helmet_jawa_helmet","blocky_bikes","head","blocky_bikes:helmet_jawa","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:helmetlzh_helmet","blocky_bikes","head","blocky_bikes:helmetlzh","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:sleevelessjacket_boots","blocky_bikes","feet","blocky_bikes:sleevelessjacket","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:sleevelessjacket_chestplate","blocky_bikes","chest","blocky_bikes:sleevelessjacket","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:sports_helmet_bmw_chestplate","blocky_bikes","chest","blocky_bikes:sports_helmet_bmw","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:sports_helmet_bmw_helmet","blocky_bikes","head","blocky_bikes:sports_helmet_bmw","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:sportshelmet_chestplate","blocky_bikes","chest","blocky_bikes:sportshelmet","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:sportshelmet_helmet","blocky_bikes","head","blocky_bikes:sportshelmet","衣服/装飾","T0-T2","標準部位名"
"blocky_bikes:transformershelmets_helmet","blocky_bikes","head","blocky_bikes:transformershelmets","衣服/装飾","T0-T2","標準部位名"
"create:cardboard_boots","create","feet","create:cardboard","衣服/装飾","T0-T2","標準部位名"
"create:cardboard_chestplate","create","chest","create:cardboard","衣服/装飾","T0-T2","標準部位名"
"create:cardboard_helmet","create","head","create:cardboard","衣服/装飾","T0-T2","標準部位名"
"create:cardboard_leggings","create","legs","create:cardboard","衣服/装飾","T0-T2","標準部位名"
"create:copper_diving_boots","create","feet","create:copper_diving","環境防護","T1-T3","標準部位名"
"create:copper_diving_helmet","create","head","create:copper_diving","環境防護","T1-T3","標準部位名"
"create:netherite_diving_boots","create","feet","create:netherite_diving","環境防護","T1-T3","標準部位名"
"create:netherite_diving_helmet","create","head","create:netherite_diving","環境防護","T1-T3","標準部位名"
"immersiveengineering:armor_faraday_boots","immersiveengineering","feet","immersiveengineering:armor_faraday","防弾/軍用","T1-T3","標準部位名"
"immersiveengineering:armor_faraday_chestplate","immersiveengineering","chest","immersiveengineering:armor_faraday","防弾/軍用","T1-T3","標準部位名"
"immersiveengineering:armor_faraday_helmet","immersiveengineering","head","immersiveengineering:armor_faraday","防弾/軍用","T1-T3","標準部位名"
"immersiveengineering:armor_faraday_leggings","immersiveengineering","legs","immersiveengineering:armor_faraday","防弾/軍用","T1-T3","標準部位名"
"immersiveengineering:armor_steel_boots","immersiveengineering","feet","immersiveengineering:armor_steel","防弾/軍用","T1-T3","標準部位名"
"immersiveengineering:armor_steel_chestplate","immersiveengineering","chest","immersiveengineering:armor_steel","防弾/軍用","T1-T3","標準部位名"
"immersiveengineering:armor_steel_helmet","immersiveengineering","head","immersiveengineering:armor_steel","防弾/軍用","T1-T3","標準部位名"
"immersiveengineering:armor_steel_leggings","immersiveengineering","legs","immersiveengineering:armor_steel","防弾/軍用","T1-T3","標準部位名"
"infectious:hazmat_suit_boots","infectious","feet","infectious:hazmat_suit","環境防護","T1-T3","標準部位名"
"infectious:hazmat_suit_chestplate","infectious","chest","infectious:hazmat_suit","環境防護","T1-T3","標準部位名"
"infectious:hazmat_suit_helmet","infectious","head","infectious:hazmat_suit","環境防護","T1-T3","標準部位名"
"infectious:hazmat_suit_leggings","infectious","legs","infectious:hazmat_suit","環境防護","T1-T3","標準部位名"
"infectious:jetpack_chestplate","infectious","chest","infectious:jetpack","衣服/装飾","T0-T2","標準部位名"
"infectious:scientist_glasses_helmet","infectious","head","infectious:scientist_glasses","衣服/装飾","T0-T2","標準部位名"
"infectious:security_armor_boots","infectious","feet","infectious:security_armor","防弾/軍用","T1-T3","標準部位名"
"infectious:security_armor_chestplate","infectious","chest","infectious:security_armor","防弾/軍用","T1-T3","標準部位名"
"infectious:security_armor_helmet","infectious","head","infectious:security_armor","防弾/軍用","T1-T3","標準部位名"
"infectious:security_armor_leggings","infectious","legs","infectious:security_armor","防弾/軍用","T1-T3","標準部位名"
"infectious:soldier_armor_boots","infectious","feet","infectious:soldier_armor","防弾/軍用","T1-T3","標準部位名"
"infectious:soldier_armor_chestplate","infectious","chest","infectious:soldier_armor","防弾/軍用","T1-T3","標準部位名"
"infectious:soldier_armor_helmet","infectious","head","infectious:soldier_armor","防弾/軍用","T1-T3","標準部位名"
"infectious:soldier_armor_leggings","infectious","legs","infectious:soldier_armor","防弾/軍用","T1-T3","標準部位名"
"infectious:swatarmor_boots","infectious","feet","infectious:swatarmor","防弾/軍用","T1-T3","標準部位名"
"infectious:swatarmor_chestplate","infectious","chest","infectious:swatarmor","防弾/軍用","T1-T3","標準部位名"
"infectious:swatarmor_helmet","infectious","head","infectious:swatarmor","防弾/軍用","T1-T3","標準部位名"
"infectious:swatarmor_leggings","infectious","legs","infectious:swatarmor","防弾/軍用","T1-T3","標準部位名"
"mekanism:free_runners_armored","mekanism","feet","mekanism:free_runners_armored","防弾/軍用","T1-T3","特殊名称候補"
"mekanism:hazmat_boots","mekanism","feet","mekanism:hazmat","環境防護","T3-T5","標準部位名"
"mekanism:hazmat_gown","mekanism","chest","mekanism:hazmat_gown","環境防護","T3-T5","特殊名称候補"
"mekanism:hazmat_mask","mekanism","head","mekanism:hazmat_mask","環境防護","T3-T5","特殊名称候補"
"mekanism:hazmat_pants","mekanism","legs","mekanism:hazmat_pants","環境防護","T3-T5","特殊名称候補"
"mekanism:jetpack_armored","mekanism","chest","mekanism:jetpack_armored","防弾/軍用","T1-T3","特殊名称候補"
"mekanism:mekasuit_bodyarmor","mekanism","chest","mekanism:mekasuit_bodyarmor","重装/パワーアーマー","T4-T5","特殊名称候補"
"mekanism:mekasuit_boots","mekanism","feet","mekanism:mekasuit","重装/パワーアーマー","T4-T5","標準部位名"
"mekanism:mekasuit_helmet","mekanism","head","mekanism:mekasuit","重装/パワーアーマー","T4-T5","標準部位名"
"mekanism:scuba_mask","mekanism","head","mekanism:scuba_mask","環境防護","T3-T5","特殊名称候補"
"survival_instinct:artic_guillie_boots","survival_instinct","feet","survival_instinct:artic_guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:artic_guillie_chestplate","survival_instinct","chest","survival_instinct:artic_guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:artic_guillie_helmet","survival_instinct","head","survival_instinct:artic_guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:artic_guillie_leggings","survival_instinct","legs","survival_instinct:artic_guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:black_hunter_helmet","survival_instinct","head","survival_instinct:black_hunter","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:black_juggernaut_boots","survival_instinct","feet","survival_instinct:black_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:black_juggernaut_chestplate","survival_instinct","chest","survival_instinct:black_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:black_juggernaut_helmet","survival_instinct","head","survival_instinct:black_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:black_juggernaut_leggings","survival_instinct","legs","survival_instinct:black_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:black_recluit_armor_boots","survival_instinct","feet","survival_instinct:black_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:black_recluit_armor_chestplate","survival_instinct","chest","survival_instinct:black_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:black_recluit_armor_helmet","survival_instinct","head","survival_instinct:black_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:black_recluit_armor_leggings","survival_instinct","legs","survival_instinct:black_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:black_rockie_armor_boots","survival_instinct","feet","survival_instinct:black_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:black_rockie_armor_chestplate","survival_instinct","chest","survival_instinct:black_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:black_rockie_armor_helmet","survival_instinct","head","survival_instinct:black_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:black_rockie_armor_leggings","survival_instinct","legs","survival_instinct:black_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:chicken_head_helmet","survival_instinct","head","survival_instinct:chicken_head","衣服/装飾","T0-T2","標準部位名"
"survival_instinct:cloth_balaclava_helmet","survival_instinct","head","survival_instinct:cloth_balaclava","衣服/装飾","T0-T2","標準部位名"
"survival_instinct:desert_hunter_helmet","survival_instinct","head","survival_instinct:desert_hunter","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:desert_juggernaut_boots","survival_instinct","feet","survival_instinct:desert_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:desert_juggernaut_chestplate","survival_instinct","chest","survival_instinct:desert_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:desert_juggernaut_helmet","survival_instinct","head","survival_instinct:desert_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:desert_juggernaut_leggings","survival_instinct","legs","survival_instinct:desert_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:desert_recluit_armor_boots","survival_instinct","feet","survival_instinct:desert_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:desert_recluit_armor_chestplate","survival_instinct","chest","survival_instinct:desert_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:desert_recluit_armor_helmet","survival_instinct","head","survival_instinct:desert_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:desert_recluit_armor_leggings","survival_instinct","legs","survival_instinct:desert_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:desert_rockie_armor_boots","survival_instinct","feet","survival_instinct:desert_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:desert_rockie_armor_chestplate","survival_instinct","chest","survival_instinct:desert_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:desert_rockie_armor_helmet","survival_instinct","head","survival_instinct:desert_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:desert_rockie_armor_leggings","survival_instinct","legs","survival_instinct:desert_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:exo_boots","survival_instinct","feet","survival_instinct:exo","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_chestplate","survival_instinct","chest","survival_instinct:exo","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_black_boots","survival_instinct","feet","survival_instinct:exo_heavy_black","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_black_chestplate","survival_instinct","chest","survival_instinct:exo_heavy_black","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_black_helmet","survival_instinct","head","survival_instinct:exo_heavy_black","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_black_leggings","survival_instinct","legs","survival_instinct:exo_heavy_black","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_desert_boots","survival_instinct","feet","survival_instinct:exo_heavy_desert","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_desert_chestplate","survival_instinct","chest","survival_instinct:exo_heavy_desert","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_desert_helmet","survival_instinct","head","survival_instinct:exo_heavy_desert","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_desert_leggings","survival_instinct","legs","survival_instinct:exo_heavy_desert","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_green_boots","survival_instinct","feet","survival_instinct:exo_heavy_green","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_green_chestplate","survival_instinct","chest","survival_instinct:exo_heavy_green","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_green_helmet","survival_instinct","head","survival_instinct:exo_heavy_green","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_heavy_green_leggings","survival_instinct","legs","survival_instinct:exo_heavy_green","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_helmet","survival_instinct","head","survival_instinct:exo","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:exo_leggings","survival_instinct","legs","survival_instinct:exo","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:fire_fighter_boots","survival_instinct","feet","survival_instinct:fire_fighter","環境防護","T1-T3","標準部位名"
"survival_instinct:fire_fighter_chestplate","survival_instinct","chest","survival_instinct:fire_fighter","環境防護","T1-T3","標準部位名"
"survival_instinct:fire_fighter_helmet","survival_instinct","head","survival_instinct:fire_fighter","環境防護","T1-T3","標準部位名"
"survival_instinct:fire_fighter_leggings","survival_instinct","legs","survival_instinct:fire_fighter","環境防護","T1-T3","標準部位名"
"survival_instinct:gas_mask_helmet","survival_instinct","head","survival_instinct:gas_mask","環境防護","T1-T3","標準部位名"
"survival_instinct:green_hunter_helmet","survival_instinct","head","survival_instinct:green_hunter","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:green_juggernaut_boots","survival_instinct","feet","survival_instinct:green_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:green_juggernaut_chestplate","survival_instinct","chest","survival_instinct:green_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:green_juggernaut_helmet","survival_instinct","head","survival_instinct:green_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:green_juggernaut_leggings","survival_instinct","legs","survival_instinct:green_juggernaut","重装/パワーアーマー","T4-T5","標準部位名"
"survival_instinct:green_recluit_armor_boots","survival_instinct","feet","survival_instinct:green_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:green_recluit_armor_chestplate","survival_instinct","chest","survival_instinct:green_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:green_recluit_armor_helmet","survival_instinct","head","survival_instinct:green_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:green_recluit_armor_leggings","survival_instinct","legs","survival_instinct:green_recluit_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:green_rockie_armor_boots","survival_instinct","feet","survival_instinct:green_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:green_rockie_armor_chestplate","survival_instinct","chest","survival_instinct:green_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:green_rockie_armor_helmet","survival_instinct","head","survival_instinct:green_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:green_rockie_armor_leggings","survival_instinct","legs","survival_instinct:green_rockie_armor","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:guillie_boots","survival_instinct","feet","survival_instinct:guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:guillie_chestplate","survival_instinct","chest","survival_instinct:guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:guillie_helmet","survival_instinct","head","survival_instinct:guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:guillie_leggings","survival_instinct","legs","survival_instinct:guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:hazmat_boots","survival_instinct","feet","survival_instinct:hazmat","環境防護","T1-T3","標準部位名"
"survival_instinct:hazmat_chestplate","survival_instinct","chest","survival_instinct:hazmat","環境防護","T1-T3","標準部位名"
"survival_instinct:hazmat_helmet","survival_instinct","head","survival_instinct:hazmat","環境防護","T1-T3","標準部位名"
"survival_instinct:hazmat_leggings","survival_instinct","legs","survival_instinct:hazmat","環境防護","T1-T3","標準部位名"
"survival_instinct:military_boots","survival_instinct","feet","survival_instinct:military","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:military_chestplate","survival_instinct","chest","survival_instinct:military","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:military_helmet","survival_instinct","head","survival_instinct:military","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:military_leggings","survival_instinct","legs","survival_instinct:military","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:motorcycle_helmet","survival_instinct","head","survival_instinct:motorcycle","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:night_vision_goggles_helmet","survival_instinct","head","survival_instinct:night_vision_goggles","衣服/装飾","T0-T2","標準部位名"
"survival_instinct:police_boots","survival_instinct","feet","survival_instinct:police","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:police_chestplate","survival_instinct","chest","survival_instinct:police","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:police_helmet","survival_instinct","head","survival_instinct:police","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:police_leggings","survival_instinct","legs","survival_instinct:police","防弾/軍用","T1-T3","標準部位名"
"survival_instinct:spruce_guillie_boots","survival_instinct","feet","survival_instinct:spruce_guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:spruce_guillie_chestplate","survival_instinct","chest","survival_instinct:spruce_guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:spruce_guillie_helmet","survival_instinct","head","survival_instinct:spruce_guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:spruce_guillie_leggings","survival_instinct","legs","survival_instinct:spruce_guillie","軽装/特殊衣服","T0-T2","標準部位名"
"survival_instinct:wool_balaclava_helmet","survival_instinct","head","survival_instinct:wool_balaclava","衣服/装飾","T0-T2","標準部位名"
"tacz_tactical_breaching:gas_mask","tacz_tactical_breaching","head","tacz_tactical_breaching:gas_mask","環境防護","T1-T3","特殊名称候補"
